symbol|storedName|providerName|providerPrice|score
ADA|Cardano|Adams Plc||0.00
AMGO|Amigo Resources PLC|38801||0.00
ASP|Aspermont Ltd|4507||0.00
BFIT|Basic-Fit NV|Global X Health & Wellness ETF|21.51|0.00
BOY|Bodycote PLC|57976||0.00
CHRG|WisdomTree Battery Solutions UCITS ETF USD Acc|The RBB Fund Trust|15.965|0.00
CPI|Carlton Precious Inc|IQ Real Return ETF|25.6047|0.00
CYB|Cymbria Corp|WisdomTree Chinese Yuan Strategy Fund|24.2674|0.00
DEBS|Boohoo Group PLC|22966||0.00
FET|FET|Forum Energy Technologies, Inc.|56.7|0.00
GGP|Greatland Resources Ltd|GGP Inc.||0.00
GTI|Gratifii Ltd|Graphjet Technology|2.7|0.00
IBM|IBM Common Stock|International Business Machines Corporation|217.065|0.00
ISPY|L&G Cyber Security UCITS ETF USD Acc|ProShares S&P 500 High Income ETF|47.319|0.00
KSS|Kohls Corp|Kohl's Corporation|18.54|0.00
LINK|Chainlink|Interlink Electronics, Inc.|4.65|0.00
LOCK|iShares Digital Security UCITS ETF USD (Acc)|LifeLock, Inc.||0.00
LTC|Litecoin|LTC Properties, Inc.|42.09|0.00
MAB|Mitchells & Butlers plc|2319||0.00
MARS|Marston's PLC|Roundhill Space & Technology ETF|23.5009|0.00
MKS|Marks and Spencer Group Plc|Meet Kevin Select ETF||0.00
NCC|NCC Group PLC|2030698||0.00
OMG|Omai Gold Mines Corp|OMGL Holdings Ltd||0.00
PAF|Pan African Resources plc|Invesco FTSE RAFI Asia Pac ex-Jpn ETF|53.1995|0.00
SRP|Serco Group plc|1110977||0.00
SSE|Silver Spruce Resources Inc|3022||0.00
XRP|Ripple|Bitwise XRP ETF|12.13|0.00
MTUM|Betashares Australian Momentum ETF|iShares MSCI USA Momentum Factor ETF|299.0099|0.33
TSM|Taiwan Semicndctr Mnufctrng Co Ltd|Taiwan Semiconductor Manufacturing Company Limited|392.285|0.33
