ticker|name|targetEntry|targetExit|matchedSymbol|reason
XRP|Ripple|0.6|4|XRP-USD|crypto name "Ripple" vs "XRP USD" (0.00)
BNB|Binance coin|300|1000|BNB-USD|crypto name "Binance coin" vs "BNB USD" (0.00)
FET|FET|1||FET-USD|crypto name "FET" vs "Artificial Superintelligence Alliance USD" (0.00)
AAXN||40|||no symbol match in the active universe
ATVI||60|100||no symbol match in the active universe
BLUE|BNPPE ECPI Global ESG Blue Economy UCITS ETF C||20||no symbol match in the active universe
CPH:VWS|Vestas Wind Systems A/S|150|||no symbol match in the active universe
CWBR||0.7|1.5||no symbol match in the active universe
DBK|Deutsche Bank AG|5|25||no symbol match in the active universe
ETR:BAYN|Bayer AG|30|75||no symbol match in the active universe
LON:AFC||16|100||no symbol match in the active universe
LON:ASC|ASOS plc|500|1000||no symbol match in the active universe
LON:BAG|A G Barr PLC|300|||no symbol match in the active universe
LON:CNA|Centrica PLC|40|150||no symbol match in the active universe
LON:ECO|Eco (Atlantic) Oil & Gas Ltd|10|||no symbol match in the active universe
LON:HUM||10|20|HUM|no price on one side; cannot corroborate the ticker
LON:ITV|ITV plc|60|100||no symbol match in the active universe
LON:RMG||140|300||no symbol match in the active universe
LON:SSE|SSE PLC|1000|||no symbol match in the active universe
LON:TSCO|Tesco PLC|170|||no symbol match in the active universe
LON:UOG|United Oil & Gas PLC|0.17|0.5||no symbol match in the active universe
EPA:MC|LVMH Moet Hennessy Louis Vuitton SE|450|||no symbol match in the active universe
NSA|National Storage Affiliates Trust|25|50|NSA|no comparable price (name overlap 1.00 is not independent evidence)
ORSTED|Oersted A/S|300|600||no symbol match in the active universe
SFR|Sandfire Resources America Inc|0.18|||no symbol match in the active universe
TIT|Telecom Italia SpA|0.25|0.75||no symbol match in the active universe
NYSE:TEVA|Teva Pharmaceutical Indstris Lmtd..|10|15||no symbol match in the active universe
TPE:2330|Taiwan Semiconductor Manufacturng Co Ltd|300|100||INVERTED: exit <= entry
TSE:AR||0.5|||no symbol match in the active universe
TWTR||20|||no symbol match in the active universe
IOG||5|20||no symbol match in the active universe
