ticker,name_in_sheet
AAXN,#N/A
ATVI,#N/A
CWBR,#N/A
DBK,Deutsche Bank AG
GAZP,#N/A
ORSTED,Oersted A/S
PWM,Power Metals Corp
SGMO,#N/A
KAPE,#N/A
YGEN,#N/A
TWOU,#N/A
CIHL,#N/A
FLIR,#N/A
AZPN,#N/A
ODX,#N/A
MGGT,#N/A
EVBG,#N/A
FLTA,#N/A
BIFF,#N/A
WBA,Walgreen Boots Alliance Ord Shs
LTG,#N/A
VRE,Vanguard FTSE Canadian Capped REIT Index ETF
CPE,Callon Petroleum Ord Shs
NKLA,#N/A
MMAT,#N/A
TTNP,#N/A
NOVN,Novartis AG
FEYE,#N/A
CINE,#N/A
BWNG,#N/A
AJRD,#N/A
NAPS,#N/A
COUP,#N/A
INGA,ING Groep NV
TOOP,#N/A
CHEK,Diastika Biotekindo Tbk PT
HOTC,#N/A
AYX,#N/A
MAERSK-B,AP Moeller - Maersk A/S Class B
TSE,#N/A
EKSO,#N/A
ONEM,#N/A
SPLK,#N/A
ADES,Akasha Wira International Tbk PT
VERB,#N/A
BIGC,#N/A
STOR,iShares Energy Storage & Hydrogen UCITS ETF USD Ac
WCMK,#N/A
BYOT,#N/A
XLNX,#N/A
MXIM,#N/A
ESSITY-A,Essity AB (publ) Class A
FL,Frontier Lithium Inc
7DIG,#N/A
CTEA,#N/A
RUR,#N/A
CSOD,#N/A
AYRO,#N/A
WIR.U,#N/A
IPOB,#N/A
VITR,Vitrolife AB
CTXS,#N/A
CVAC,#N/A
VMW,VMware Class A Ord Shs
EXPI,#N/A
ARNA,Arwana Citramulia Tbk PT
SLGG,#N/A
ZYXI,#N/A
CYTO,#N/A
MDGS,#N/A
ZAL,Zalando SE
SMDS,#N/A
ORPH,#N/A
THULE,Thule Group AB
RWLK,#N/A
IPG,IPD Group Ltd
PKI,#N/A
FTCH,#N/A
FSR,Firstrand ADR
DVRG,#N/A
EURN,#N/A
FUV,#N/A
CIIC,#N/A
PEI,Prospera Energy Inc
SWEL,#N/A
QTMM,#N/A
THCB,#N/A
METX,ME Therapeutics Holdings Inc
ZNGA,#N/A
EXPR,#N/A
SGLB,#N/A
PURP,#N/A
N4P,#N/A
BABYF,#N/A
DMYD,#N/A
FUNO11,Fideicomiso Irrevocable No F/1401
FVE,#N/A
AMRS,#N/A
PSTG,#N/A
PLL,Prudential Financial Inc
ZUO,#N/A
SKLZ,#N/A
VVI,#N/A
NPF,Smart Nz Property ETF
DNB,Deneb Investments Ltd
BKI,Black Iron Inc
PSTI,#N/A
KL,#N/A
VERO,#N/A
UROV,#N/A
OSMT,#N/A
ADMS,#N/A
MNK,Minerals Technologies Inc
GTHX,#N/A
QRTEA,#N/A
PTVE,#N/A
ORTX,#N/A
AVGR,#N/A
AY,#N/A
MWK,Mohawk Industries Inc
GOEV,#N/A
TSCRF,#N/A
OBSV,#N/A
STSA,#N/A
FFWD,#N/A
CMLF,#N/A
ADOM,#N/A
LSYN,#N/A
OSTK,#N/A
PCTI,#N/A
NAKD,#N/A
SHSL,#N/A
GVP,#N/A
ACTC,#N/A
BMIX,#N/A
PCPL,#N/A
MTOR,#N/A
VJET,#N/A
ONVO,#N/A
EA71,#N/A
RAPT,#N/A
KMPH,#N/A
CYRN,#N/A
SAVA,#N/A
BIOL,#N/A
CLVS,#N/A
HYRE,#N/A
LAIX,#N/A
CGIX,#N/A
ESYS,#N/A
ETWO,#N/A
GHVI,#N/A
DOCRF,#N/A
SEEL,#N/A
TRMR,#N/A
RMGR,#N/A
EGEC,#N/A
ALYI,#N/A
CLIS,Clal Insurance Enterprises Holdings Ltd
THBR,#N/A
BRQS,#N/A
MPW,Metal Powder Works Ltd
SINA,#N/A
MRIN,YD More Investments Ltd
VCVC,#N/A
AONE,#N/A
ESGC,Invesco S&P/TSX Composite ESG Index ETF (CAD)
BLE,#N/A
RESN,#N/A
CDEV,Cohen Development Gas & Oil Ltd
ABML,#N/A
DCPH,#N/A
EXPFF,#N/A
LKCO,#N/A
GWAC,#N/A
VIH,#N/A
EQOS,#N/A
MKGI,#N/A
NOAC,#N/A
FTCV,#N/A
TKAT,#N/A
CWRK,#N/A
SINO,#N/A
MOGO,#N/A
ATIF,#N/A
HOFV,#N/A
AIKI,#N/A
RMO,Rainy Mountain Royalty Corp
AZRE,#N/A
CSCW,#N/A
HEIO,Heineken Holding NV
VMEO,#N/A
GHSI,#N/A
ATHA,Athena Gold Corp
PFPT,#N/A
SHCO,#N/A
GTT,Gaztransport et Technigaz SA
OVH,Ovh Groupe SA
SIVE,Sivers Semiconductors AB
